OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR,
51-6031,Sewing Machine Operators,detailed,640,23.5,13.23,27520,3,10.15,11.22,13.03,14.75,17.09,21120,23350,27100,30680,35540,2018,
51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,,,15.33,31900,6.5,10.44,12,13.92,17.53,20.71,21720,24960,28950,36460,43070,2018,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,,,12.36,25710,3.4,9.37,10.42,11.46,12.64,17.87,19480,21670,23840,26290,37170,2018,
51-6093,Upholsterers,detailed,,,17.35,36090,5.3,13.07,14.25,16.37,19.11,24.66,27190,29630,34040,39740,51300,2018,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,,,17.75,36910,4.4,13.26,15.1,17.63,21.02,23.5,27570,31400,36660,43710,48870,2018,
51-7011,Cabinetmakers and Bench Carpenters,detailed,550,21.5,16.83,35000,3.1,12.31,13.95,16.69,19.15,22.72,25610,29010,34720,39830,47260,2018,
51-7021,Furniture Finishers,detailed,60,44.1,17.25,35870,4.1,12.6,15.09,17.48,19.61,22.53,26200,31390,36360,40790,46860,2018,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,280,20.3,14.36,29870,2.5,10.58,12.11,13.73,16.15,19.05,22000,25190,28550,33600,39630,2018,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,830,17.4,15.93,33130,5.1,10.66,12.76,15,19.09,22.81,22170,26530,31200,39710,47450,2018,
51-8013,Power Plant Operators,detailed,120,17.9,36.56,76050,10.5,17.85,27.18,41.11,46.66,49.96,37120,56540,85510,97060,103910,2018,
51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,450,11.6,23.85,49610,3.5,15.03,17.87,22.38,28.14,36.71,31260,37170,46540,58530,76360,2018,
51-8091,Chemical Plant and System Operators,detailed,190,40.3,29.2,60730,4.3,23.77,26.02,28.5,31.4,37.57,49430,54120,59280,65300,78150,2018,
51-9011,Chemical Equipment Operators and Tenders,detailed,650,35.7,30.07,62550,4.7,18.81,26.14,31.72,35.94,38.55,39120,54370,65980,74760,80180,2018,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,290,20.8,19.77,41110,6.4,13.16,14.74,18.4,25.35,28.99,27380,30660,38270,52730,60300,2018,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,360,28.7,17.57,36560,4.8,12.03,14.57,17.6,20.57,23.31,25030,30300,36600,42790,48490,2018,
51-9022,"Grinding and Polishing Workers, Hand",detailed,230,39.9,15.95,33170,3.7,11.04,12.68,14.95,18.56,23.06,22970,26370,31090,38600,47960,2018,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,860,18.5,18.07,37590,2.6,12.57,15.33,17.52,20.15,25.7,26140,31900,36450,41910,53450,2018,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,210,15.2,17.52,36440,2.1,12.95,15.24,17.43,19.65,23.12,26930,31690,36250,40880,48100,2018,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,470,28.9,15.96,33200,6.9,11.53,12.96,14.59,18.5,23.46,23980,26950,30350,38470,48790,2018,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,,,20.45,42540,10.5,12.01,14.86,21.26,24.28,28.34,24990,30910,44210,50510,58940,2018,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,3780,7.5,19.55,40670,5.1,11.99,14.2,17.88,24.96,30.09,24940,29530,37180,51920,62590,2018,
51-9081,Dental Laboratory Technicians,detailed,150,43.1,20.26,42130,3.6,12.53,15.41,19,26.09,29.71,26070,32060,39530,54260,61800,2018,
51-9082,Medical Appliance Technicians,detailed,,,18.25,37970,3,13.57,15.63,17.72,20.75,24.01,28230,32500,36850,43160,49950,2018,
51-9083,Ophthalmic Laboratory Technicians,detailed,80,40,14.06,29250,8,8.93,10.35,14.12,17.18,18.83,18570,21530,29380,35730,39170,2018,
51-9111,Packaging and Filling Machine Operators and Tenders,detailed,1600,7.9,16.03,33340,2.8,11.1,12.98,15.67,18.33,20.98,23100,27000,32600,38120,43630,2018,
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,480,18.2,16.49,34300,3.7,10.86,12.73,16.42,19.8,23.1,22590,26470,34150,41190,48040,2018,
51-9122,"Painters, Transportation Equipment",detailed,170,22.4,24.54,51040,6.7,13.25,17.91,24.68,29.9,36.67,27560,37250,51330,62200,76260,2018,
51-9123,"Painting, Coating, and Decorating Workers",detailed,50,43.3,15.94,33150,9.1,10.58,11.9,15,18.62,23.27,22010,24740,31210,38730,48400,2018,
51-9191,Adhesive Bonding Machine Operators and Tenders,detailed,310,44.8,18.02,37470,11.2,11.1,13.38,19.7,22.68,24.37,23090,27820,40980,47160,50690,2018,
51-9194,Etchers and Engravers,detailed,30,37,15.8,32860,5.7,12.17,13.29,15.13,17.52,19,25310,27640,31460,36450,39520,2018,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,130,27.8,13.91,28940,5.5,9.68,11.14,13.46,15.57,19.11,20140,23170,28000,32390,39740,2018,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed,600,29.1,16.75,34850,4.9,12.03,13.33,15.68,20.47,23.58,25030,27720,32620,42570,49060,2018,
51-9197,Tire Builders,detailed,,,20.17,41950,10,13.79,16.42,18.75,25.48,28.64,28690,34160,39000,53010,59570,2018,
51-9198,Helpers--Production Workers,detailed,2100,15.5,13.3,27660,2.7,8.65,10.28,12.63,15.23,19.16,17980,21370,26260,31670,39850,2018,
51-9199,"Production Workers, All Other",detailed,1520,36.8,14.16,29460,2.1,8.77,10.33,12.69,17.05,21.51,18250,21490,26400,35450,44730,2018,
53-0000,Transportation and Material Moving Occupations,major,68900,4.7,19.29,40130,8.2,9.9,11.84,15.46,21.52,29.35,20590,24630,32160,44760,61040,2018,
53-1011,Aircraft Cargo Handling Supervisors,detailed,660,41.4,19.34,40220,4.5,15.61,16.72,18.3,20.34,23.98,32480,34770,38060,42300,49870,2018,
53-1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,3020,4.4,24.68,51340,2.5,15.71,17.94,22.92,30.05,37.3,32680,37320,47680,62510,77580,2018,
53-2012,Commercial Pilots,detailed,120,26.5,,93980,10.5,,,,,,43770,72890,91260,112500,139320,2018,
53-3021,"Bus Drivers, Transit and Intercity",detailed,820,19.3,18.06,37570,6.5,11.24,14.36,18.43,22.39,24.39,23370,29880,38340,46570,50720,2018,
53-3022,"Bus Drivers, School or Special Client",detailed,2500,3.5,18.91,39330,8,9.91,14.91,18.82,23.54,27.73,20620,31020,39130,48960,57680,2018,
53-3031,Driver/Sales Workers,detailed,2190,19.8,11.92,24790,7.5,7.98,8.55,9.52,14.34,18.71,16610,17780,19800,29830,38910,2018,
53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,8890,9.2,23.6,49080,2.5,15.77,18.42,22.59,28.05,33.91,32790,38320,46980,58340,70530,2018,
53-3033,Light Truck or Delivery Services Drivers,detailed,5700,13.7,18.81,39120,5.4,9.1,11.85,17.4,25.28,30.84,18920,24640,36190,52570,64150,2018,
53-3041,Taxi Drivers and Chauffeurs,detailed,700,24,11.63,24200,4.1,8.35,9.4,11.29,13.73,15.27,17380,19550,23490,28550,31760,2018,
53-3099,"Motor Vehicle Operators, All Other",detailed,170,33.3,23.13,48120,6.4,11.83,20.96,24.22,28.13,30.25,24610,43600,50370,58520,62910,2018,
53-6021,Parking Lot Attendants,detailed,260,19,9.65,20070,3.8,7.9,8.41,9.25,10.54,11.82,16430,17480,19230,21920,24590,2018,
53-6031,Automotive and Watercraft Service Attendants,detailed,340,22.1,12.16,25300,2.3,9.06,10.1,11.45,13.66,16.89,18850,21020,23810,28410,35120,2018,
53-6051,Transportation Inspectors,detailed,120,16.7,44.43,92410,7.4,15.51,38.81,47.37,54.54,61.14,32260,80720,98520,113440,127170,2018,
53-7011,Conveyor Operators and Tenders,detailed,310,42.5,17.34,36070,7.6,12.43,13.48,15.92,20.35,25.79,25840,28030,33110,42320,53640,2018,
53-7021,Crane and Tower Operators,detailed,180,24.7,17.55,36490,4.8,13.08,14.4,16.59,19.08,23.96,27210,29950,34500,39680,49840,2018,
53-7032,Excavating and Loading Machine and Dragline Operators,detailed,80,41.6,20.28,42180,6,15.76,17.21,19.6,22.76,24.79,32790,35790,40760,47330,51570,2018,
53-7041,Hoist and Winch Operators,detailed,,,16.04,33360,4.4,13.09,13.69,14.67,15.72,18.35,27230,28460,30510,32690,38160,2018,
53-7051,Industrial Truck and Tractor Operators,detailed,5050,17.1,16.11,33510,2.8,11.76,13.38,15.35,18.36,22.05,24450,27830,31930,38190,45850,2018,
53-7061,Cleaners of Vehicles and Equipment,detailed,1400,17.5,11.79,24520,3.4,8.49,9.59,11.07,13.1,15.29,17650,19940,23020,27250,31790,2018,
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,23680,6.9,14.94,31070,1.8,10.39,11.57,13.65,17.18,22.11,21610,24060,28390,35740,45980,2018,
53-7063,Machine Feeders and Offbearers,detailed,910,32,14.68,30530,5.5,10.05,11.41,13.52,15.49,24.7,20900,23720,28130,32230,51370,2018,
53-7064,"Packers and Packagers, Hand",detailed,,,12.38,25740,5.6,8.45,9.67,11.57,14.26,17.98,17570,20120,24060,29660,37400,2018,
53-7081,Refuse and Recyclable Material Collectors,detailed,490,12.1,14.78,30740,5.3,9.83,11.43,14.74,18.01,19.83,20460,23780,30660,37470,41250,2018,
00-0000,All Occupations,total,609210,1.1,20.25,42120,1.3,8.55,10.69,16.01,24.72,35.75,17780,22230,33310,51420,74370,2013,
11-0000,Management Occupations,major,29000,2.3,45.12,93840,1.1,19.97,27.9,39.35,54.81,78.14,41540,58020,81840,114000,162530,2013,
11-1011,Chief Executives,detailed,1130,5,85.71,178280,2.2,41.12,56.38,81.76,,,85530,117260,170060,,,2013,
11-1021,General and Operations Managers,detailed,8270,3.2,46.33,96370,2.2,17.87,26.3,38.58,56.65,87.29,37170,54710,80250,117830,181570,2013,
11-1031,Legislators,detailed,60,24.5,,35370,6.5,,,,,,16480,18050,31480,38580,79250,2013,
11-2011,Advertising and Promotions Managers,detailed,130,12.4,35.38,73600,8.8,16.31,20.41,31.76,42.19,58.05,33920,42440,66060,87760,120730,2013,
11-2021,Marketing Managers,detailed,630,7.4,54.14,112600,7.7,26.27,33.43,44.57,66.93,,54640,69540,92700,139210,,2013,
11-2022,Sales Managers,detailed,1580,9.6,47.97,99780,2.9,23.39,33.54,44.08,56.58,73.6,48650,69760,91690,117690,153100,2013,
11-2031,Public Relations and Fundraising Managers,detailed,310,9.1,38.52,80130,3.4,20.31,25.89,34.34,49.37,57.91,42230,53850,71440,102690,120460,2013,
11-3011,Administrative Services Managers,detailed,860,6.2,35.67,74200,2.4,21.14,26.33,33.44,42.62,53.2,43970,54760,69560,88660,110660,2013,
11-3021,Computer and Information Systems Managers,detailed,1020,6.4,50.95,105970,2.6,28.91,38.1,49.25,61.84,73.93,60130,79260,102450,128630,153780,2013,
11-3031,Financial Managers,detailed,2810,6.1,48.03,99910,3.3,22.95,29.81,42.11,58.25,79.75,47730,62000,87600,121160,165890,2013,
11-3051,Industrial Production Managers,detailed,1280,9.6,41.73,86800,3.5,24.98,30.62,37.15,48.06,65.89,51970,63700,77280,99970,137040,2013,
11-3061,Purchasing Managers,detailed,350,7,49.73,103440,5.6,26.2,32.97,44.79,58.06,82.76,54490,68580,93160,120760,172140,2013,
11-3071,"Transportation, Storage, and Distribution Managers",detailed,710,5.5,41.43,86170,3.1,23.1,30.37,38.71,49.34,62.03,48040,63170,80510,102620,129020,2013,
11-3111,Compensation and Benefits Managers,detailed,80,11,48.84,101580,6.8,21.85,28.84,44.75,62.94,79.53,45450,59990,93080,130910,165430,2013,
11-3121,Human Resources Managers,detailed,590,5.9,45.03,93650,4,25.48,32.59,41.44,52.59,68.23,52990,67790,86190,109390,141930,2013,
11-3131,Training and Development Managers,detailed,330,26.2,37.47,77930,2.7,22.97,30.13,36.34,44.26,53.28,47770,62670,75580,92060,110830,2013,
11-9021,Construction Managers,detailed,1210,23.4,36.94,76840,4.8,21.28,26.25,33.71,44.9,58.19,44270,54590,70120,93390,121030,2013,
11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,100,20.6,19.75,41080,4.7,13.52,16.32,19.7,22.17,26.03,28110,33950,40980,46110,54150,2013,
11-9032,"Education Administrators, Elementary and Secondary School",detailed,1050,2,,91820,2.7,,,,,,64700,79120,91630,107900,119340,2013,
11-9033,"Education Administrators, Postsecondary",detailed,340,12.5,47.03,97820,4.7,23.66,29.15,41.08,57.45,79.13,49210,60640,85440,119510,164600,2013,
11-9039,"Education Administrators, All Other",detailed,60,17.9,42.33,88040,19.4,19.13,25.02,33.51,42.16,,39790,52040,69700,87690,,2013,
11-9041,Architectural and Engineering Managers,detailed,490,7.1,59.13,123000,2.9,39.19,47.06,56.01,69.05,84.13,81510,97880,116500,143620,174980,2013,
11-9051,Food Service Managers,detailed,930,10.1,23.86,49630,3.9,15.9,18.82,21.79,27.28,35.74,33070,39140,45330,56740,74330,2013,
11-9061,Funeral Service Managers,detailed,30,32.1,39.46,82070,19.6,20.6,25.25,32.51,37.16,79.65,42850,52510,67620,77300,165680,2013,
11-9081,Lodging Managers,detailed,110,19.1,20.11,41820,9.2,12.67,13.97,19.43,22.69,29.29,26350,29060,40410,47200,60930,2013,
11-9111,Medical and Health Services Managers,detailed,1390,6.6,45.88,95420,3.4,24.91,31.89,40.58,53.56,70.09,51820,66330,84410,111410,145790,2013,
11-9121,Natural Sciences Managers,detailed,80,33.3,53.89,112080,4.9,38.48,44.31,57.33,64.97,70.43,80030,92170,119250,135130,146490,2013,
11-9131,Postmasters and Mail Superintendents,detailed,60,0,33.06,68760,1.2,22.13,27.32,32.59,38.72,44.94,46040,56820,67780,80530,93470,2013,
11-9141,"Property, Real Estate, and Community Association Managers",detailed,600,14.2,22.64,47080,11.8,10.09,12.69,17.35,26.15,46.96,20980,26400,36080,54380,97670,2013,
11-9151,Social and Community Service Managers,detailed,560,8.5,29.79,61960,3.5,17.79,21.45,27.34,35.39,44.94,37010,44610,56870,73620,93480,2013,
11-9161,Emergency Management Directors,detailed,40,19.1,20.72,43090,9,9.4,13.92,18.64,29.68,35.98,19560,28950,38770,61720,74830,2013,
11-9199,"Managers, All Other",detailed,1800,9.3,40.08,83360,2.6,19.18,28.91,37.27,48.84,65.62,39900,60120,77510,101590,136480,2013,
13-0000,Business and Financial Operations Occupations,major,25730,4.8,28.87,60040,1.5,15.46,19.81,26.01,34.8,45.49,32160,41210,54110,72380,94620,2013,
13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,70,40.2,29.75,61870,5,19.38,22.42,29.07,36.05,42.94,40300,46640,60470,74990,89310,2013,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,430,15.8,29.11,60550,13.9,13.23,16.98,21.94,33.97,44.29,27510,35310,45630,70660,92120,2013,
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,1240,6.4,29.03,60390,5.5,15.61,20.22,26.44,35.24,46.72,32460,42070,55000,73290,97180,2013,
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,2240,26.4,27.27,56720,2.2,15.39,19.48,27.02,34.18,41.16,32010,40510,56200,71100,85610,2013,
13-1032,"Insurance Appraisers, Auto Damage",detailed,,,23.43,48730,5.7,13.11,19.79,24.47,27.41,30.75,27270,41160,50900,57010,63950,2013,
13-1041,Compliance Officers,detailed,750,8.1,27.17,56520,3.9,16.04,19.77,24.6,33.63,43,33360,41120,51160,69940,89450,2013,
13-1051,Cost Estimators,detailed,770,11.5,30.35,63130,2.9,17.69,22,29.02,36.63,45.86,36780,45770,60360,76190,95380,2013,
13-1071,Human Resources Specialists,detailed,1850,12.7,26.22,54540,2.4,15.42,19.02,23.96,32.2,40.86,32060,39550,49840,66980,85000,2013,
13-1075,Labor Relations Specialists,detailed,500,9.8,25.74,53540,11.9,8.09,9.12,26.59,34.64,41.38,16820,18960,55310,72060,86060,2013,
13-1081,Logisticians,detailed,540,12,40.02,83240,5.6,21.75,27.65,35.74,53.8,66.07,45250,57510,74350,111900,137430,2013,
13-1111,Management Analysts,detailed,1960,9.7,31.82,66180,1.8,19.82,23.69,29.53,37.16,47.85,41220,49270,61410,77300,99520,2013,
13-1121,"Meeting, Convention, and Event Planners",detailed,220,13.9,21.43,44580,5.3,11.36,16.17,20.26,25.57,33.24,23630,33640,42140,53190,69140,2013,
13-1131,Fundraisers,detailed,190,15.4,24.45,50860,3.8,14.19,18.54,23.28,30.23,35.61,29520,38570,48410,62880,74080,2013,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,270,7.7,27.66,57530,2.9,16.49,20.53,26.77,33.93,41.25,34310,42700,55690,70580,85790,2013,
13-1151,Training and Development Specialists,detailed,1190,8.7,24.67,51320,3.4,14.2,17.71,23.12,28.8,36.46,29540,36840,48080,59900,75830,2013,
13-1161,Market Research Analysts and Marketing Specialists,detailed,1170,8.3,24.82,51630,3.1,13.14,16.44,21.52,29.42,41.92,27320,34200,44770,61190,87190,2013,
13-1199,"Business Operations Specialists, All Other",detailed,2820,8.5,28.67,59640,3,16.25,20.3,26.27,35.07,45.16,33800,42230,54650,72950,93940,2013,
13-2011,Accountants and Auditors,detailed,4370,4.2,30.07,62540,2.3,18.69,21.51,27.13,35.31,45.16,38880,44740,56430,73440,93930,2013,
13-2021,Appraisers and Assessors of Real Estate,detailed,260,35.2,27.86,57950,14.5,12.93,15.73,24.18,38.01,51.22,26900,32720,50290,79050,106550,2013,
13-2031,Budget Analysts,detailed,240,4.2,27.68,57580,2.9,19.24,21.62,25.93,32.62,39.69,40020,44960,53930,67860,82560,2013,
13-2041,Credit Analysts,detailed,160,15.3,29.27,60870,4.9,17.06,20.37,25.39,37.48,46.8,35480,42370,52820,77950,97350,2013,
13-2051,Financial Analysts,detailed,500,11.5,34.91,72610,5.8,19.92,23.07,31.17,41.08,54.03,41430,47990,64840,85440,112370,2013,
13-2052,Personal Financial Advisors,detailed,590,16,38.12,79300,10.1,12.54,14.63,22.66,51.71,85.8,26070,30440,47130,107570,178460,2013,
13-2053,Insurance Underwriters,detailed,330,20.8,29.31,60960,4.2,16.77,20.42,26.71,36.02,46.72,34880,42460,55560,74930,97170,2013,
13-2061,Financial Examiners,detailed,150,13.1,36.74,76430,13.3,18.61,21.11,26.44,40.77,63.4,38720,43910,54990,84800,131880,2013,
13-2071,Credit Counselors,detailed,80,24.4,19.23,39990,5.6,12.8,14.22,17.81,22.88,29.34,26620,29580,37050,47600,61040,2013,
13-2072,Loan Officers,detailed,1660,9.3,32.68,67960,6.5,15.85,20.3,26.93,39.37,57.8,32970,42230,56000,81890,120230,2013,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,180,2.9,27.14,56460,8.1,14.85,17.05,24.79,36.38,47.2,30880,35460,51570,75680,98180,2013,
13-2082,Tax Preparers,detailed,,,15.39,32020,6.7,12.45,13.2,14.44,16.59,18.85,25890,27450,30030,34500,39210,2013,
13-2099,"Financial Specialists, All Other",detailed,600,11,22.18,46130,3.6,14.67,16.8,20.55,26.08,33.49,30510,34950,42740,54240,69670,2013,
15-0000,Computer and Mathematical Occupations,major,12870,6.2,31.94,66440,2,17.06,21.88,30.02,40.72,50.48,35480,45520,62440,84700,105000,2013,
15-1121,Computer Systems Analysts,detailed,1450,21,36.69,76320,3.5,20.37,24.44,34.07,47.05,58.86,42370,50830,70870,97850,122430,2013,
15-1122,Information Security Analysts,detailed,170,25.4,40,83200,3.6,23.52,29.84,37.89,50.3,62.61,48920,62070,78820,104620,130230,2013,
15-1131,Computer Programmers,detailed,810,14.6,30.71,63880,4.6,16.67,21.29,29.47,38.81,45.68,34680,44290,61290,80730,95020,2013,
15-1132,"Software Developers, Applications",detailed,2940,9.2,34.67,72120,3,18.12,26.55,34.55,42.65,50.57,37700,55220,71870,88700,105190,2013,
15-1133,"Software Developers, Systems Software",detailed,790,10.7,40.78,84820,2.7,26.51,32.22,40.51,49.69,56.72,55140,67020,84270,103350,117980,2013,
15-1134,Web Developers,detailed,350,14.7,23.03,47900,4,10.55,16.18,21.71,28.73,37.04,21940,33660,45150,59770,77040,2013,
15-1141,Database Administrators,detailed,560,14.3,33.78,70260,2.7,19.55,24.54,35.64,42.1,46.93,40660,51040,74130,87560,97610,2013,
15-1142,Network and Computer Systems Administrators,detailed,1260,7.7,30.06,62520,1.9,18.56,22.31,28.92,37.48,43.72,38610,46410,60160,77960,90930,2013,
15-1143,Computer Network Architects,detailed,610,11.6,41.34,85990,4.4,22.17,29.4,40.94,50.96,61.23,46100,61160,85150,105990,127370,2013,
15-1151,Computer User Support Specialists,detailed,1710,6.2,21.44,44590,1.8,13.49,16.94,20.74,25.25,30.59,28060,35240,43130,52520,63630,2013,
15-1152,Computer Network Support Specialists,detailed,750,20.1,23.54,48950,3.5,13.97,16.73,21.42,29.34,35.62,29050,34810,44560,61030,74090,2013,
15-1199,"Computer Occupations, All Other",detailed,1040,6.7,31.35,65220,4,17.75,21.71,28.79,38.63,50.55,36910,45160,59880,80350,105150,2013,
15-2011,Actuaries,detailed,,,46.22,96140,5.1,27.4,33.03,41.21,53.57,73.25,56980,68700,85720,111420,152370,2013,
15-2031,Operations Research Analysts,detailed,240,25.8,31.01,64500,3.4,19.48,22.3,26.97,36.76,45.54,40530,46390,56100,76460,94710,2013,
15-2041,Statisticians,detailed,120,3.2,37.85,78720,2.2,22.82,33.08,37.5,42.74,51.13,47460,68810,77990,88890,106360,2013,
17-0000,Architecture and Engineering Occupations,major,8120,2.9,33.99,70700,3.5,17.39,23.8,33.23,42.63,52.55,36180,49510,69120,88670,109310,2013,
17-1011,"Architects, Except Landscape and Naval",detailed,320,15.1,35.67,74190,3.5,24.49,30.24,34.42,40.68,49.89,50950,62890,71590,84610,103780,2013,
17-1012,Landscape Architects,detailed,,,28.36,58980,14,18.76,20.03,22.11,35.34,51.26,39020,41660,45980,73510,106620,2013,
17-1021,Cartographers and Photogrammetrists,detailed,60,0.8,24.48,50910,2.7,15.92,17.58,22.23,31.5,35.18,33120,36570,46240,65520,73170,2013,
17-1022,Surveyors,detailed,90,22.1,22.47,46740,6.1,12.02,15.84,21.21,30.1,35.1,25000,32950,44110,62610,73010,2013,
17-2031,Biomedical Engineers,detailed,50,39.2,32.59,67790,4.6,18.65,25.79,32.88,40.02,45.03,38800,53640,68400,83230,93660,2013,
17-2041,Chemical Engineers,detailed,80,16.2,43.29,90040,4.4,32.68,38.36,42.14,46.5,60.31,67980,79780,87660,96720,125450,2013,
17-2051,Civil Engineers,detailed,800,11.2,37.84,78700,3.1,25.49,30.43,36.54,44.35,52.14,53030,63300,76000,92240,108460,2013,
17-2061,Computer Hardware Engineers,detailed,100,38,38.7,80500,12.4,16.4,24.02,38.59,51.93,64.87,34110,49970,80270,108020,134930,2013,
17-2071,Electrical Engineers,detailed,390,11.3,39.73,82630,2.3,27.88,32.66,38.98,45.52,53.56,57980,67930,81070,94670,111410,2013,
17-2072,"Electronics Engineers, Except Computer",detailed,330,17.2,38.23,79520,2.3,25.99,31.47,37.12,44.97,53.13,54060,65450,77210,93540,110510,2013,
17-2081,Environmental Engineers,detailed,140,29.3,40.3,83830,7.6,24.88,30.35,38.71,47.2,63.86,51750,63130,80520,98180,132830,2013,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,60,7.3,42.57,88550,11.2,22.75,28.73,39.27,55.77,69.69,47330,59760,81690,116000,144950,2013,
17-2112,Industrial Engineers,detailed,1390,4.9,39.8,82780,4.1,25.03,30.83,38.88,46.9,56.88,52070,64120,80880,97560,118300,2013,
17-2131,Materials Engineers,detailed,40,23.4,45.19,94000,7.2,28.21,32.59,44.61,59.19,68.1,58680,67780,92790,123120,141650,2013,
17-2141,Mechanical Engineers,detailed,1340,4.5,40.72,84700,3.5,27.73,33,39.85,47.97,57.05,57670,68640,82880,99770,118670,2013,
17-2199,"Engineers, All Other",detailed,380,7.5,35.04,72890,9.2,16.83,21.66,34.34,44.23,55.79,35010,45060,71430,91990,116040,2013,
17-3011,Architectural and Civil Drafters,detailed,350,11.8,22.63,47070,4.5,15.63,18.11,21.21,25.79,33.24,32520,37660,44120,53650,69130,2013,
17-3012,Electrical and Electronics Drafters,detailed,60,30.6,30.2,62820,6.8,19.21,21.39,29.1,36.64,47.6,39970,44500,60520,76210,99010,2013,
17-3013,Mechanical Drafters,detailed,230,15.3,23.94,49800,5,13.67,17.53,23.37,28.09,38.53,28440,36470,48610,58430,80140,2013,
17-3019,"Drafters, All Other",detailed,400,22.2,19.33,40210,5.2,13.04,14.83,17.77,21.98,27.6,27110,30850,36960,45710,57410,2013,
17-3022,Civil Engineering Technicians,detailed,250,18.4,20.23,42090,2.2,12.9,16.44,19.4,22.86,28.94,26830,34200,40350,47550,60190,2013,
17-3023,Electrical and Electronics Engineering Technicians,detailed,320,33,24.46,50880,3.9,15.17,17.92,23.04,30.69,35.2,31550,37270,47920,63840,73220,2013,
17-3025,Environmental Engineering Technicians,detailed,40,31.7,20.34,42300,10.5,13.11,15.5,19.98,22.85,30.4,27280,32230,41560,47530,63230,2013,
17-3026,Industrial Engineering Technicians,detailed,230,10,25.36,52740,6.1,13.16,17.62,24.77,32.45,38.66,27360,36640,51530,67510,80400,2013,
17-3027,Mechanical Engineering Technicians,detailed,120,14.3,22.12,46010,4.2,14.54,17.15,22.19,26.78,29.97,30250,35680,46150,55710,62340,2013,
17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,300,13.8,30.55,63550,4.2,22.81,28.03,32.2,34.96,36.69,47450,58300,66970,72710,76320,2013,
17-3031,Surveying and Mapping Technicians,detailed,170,13.9,19.14,39810,7.5,10.59,15.3,17.93,22.37,27.64,22030,31820,37290,46530,57480,2013,
19-0000,"Life, Physical, and Social Science Occupations",major,2340,4.9,25.1,52200,4.8,14.36,17.28,22.34,30.48,41.5,29870,35940,46470,63400,86310,2013,
19-1022,Microbiologists,detailed,40,15.3,29.49,61330,1.7,20.06,22.53,29.17,34.06,41.22,41730,46860,60680,70850,85740,2013,
19-1023,Zoologists and Wildlife Biologists,detailed,,,17.33,36040,4.2,14.95,15.57,16.61,17.65,18.27,31090,32390,34550,36710,38010,2013,
19-1031,Conservation Scientists,detailed,50,32.9,29.68,61740,3.1,15.57,23.58,31.72,34.96,39.69,32390,49040,65980,72710,82560,2013,
19-1042,"Medical Scientists, Except Epidemiologists",detailed,,,23.11,48060,6.3,16.06,18.81,21.64,25.24,29.89,33410,39120,45010,52510,62170,2013,
19-2031,Chemists,detailed,150,13.9,31.45,65430,5.3,18.72,21.44,28.29,41.95,51.13,38930,44590,58840,87250,106350,2013,
19-2041,"Environmental Scientists and Specialists, Including Health",detailed,140,18.4,30.49,63430,7.9,14.02,17.82,28.88,41.01,47.3,29170,37060,60070,85300,98390,2013,
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,30,20,35.45,73740,9.2,19.85,21.85,36.39,47.21,50.95,41280,45450,75680,98190,105980,2013,
19-2099,"Physical Scientists, All Other",detailed,30,22.5,34,70720,6.3,11.98,19.82,35.11,43.01,52.11,24920,41220,73040,89460,108380,2013,
